CATEGORY, TITLE, LOW, HIGH,URL
WINE,Casillero del Diablo Malbec,4.99,19.09,https://products2.imgix.drizly.com/ci-casillero-del-diablo-malbec-f904c6491dc61cec.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,La Vieille Ferme Rosé,6.98,16.09,https://products0.imgix.drizly.com/ci-la-vieille-ferme-rose-8f29ebbe1fba46b9.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Cupcake Chardonnay,6.99,23.99,https://products1.imgix.drizly.com/ci-cupcake-chardonnay-9b707dff12932f7c.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Butter Chardonnay,9.99,30.09,https://products0.imgix.drizly.com/ci-butter-chardonnay-1d21839b3c585c96.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Black Box Pinot Grigio,None,None,https://products0.imgix.drizly.com/ci-black-box-pinot-grigio-2d9c27443b3f2d7b.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Relax Riesling,7.98,27.09,https://products1.imgix.drizly.com/ci-relax-riesling-d356d2628c74619d.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Apothic Rosé,7.99,18.83,https://products2.imgix.drizly.com/ci-apothic-rose-ae4a156ad00edb82.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,The Pinot Project Pinot Grigio,9.87,17.99,https://products3.imgix.drizly.com/ci-the-pinot-project-pinot-grigio-d62fceff540d1435.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Bread & Butter Chardonnay,10.99,24.99,https://products2.imgix.drizly.com/ci-bread-butter-chardonnay-ddc65d342b0c12f1.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Ecco Domani Pinot Grigio,1.00,17.99,https://products2.imgix.drizly.com/ci-ecco-domani-pinot-grigio-29cfa1d3dbbad4f0.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Bogle Merlot,6.59,99.99,https://products3.imgix.drizly.com/ci-bogle-merlot-1e8e14414a629159.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Woodbridge By Robert Mondavi Cabernet Sauvignon,3.99,16.09,https://products2.imgix.drizly.com/ci-woodbridge-by-robert-mondavi-cabernet-sauvignon-337f568dec1da094.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Michael David Petite Petit,11.98,30.09,https://products2.imgix.drizly.com/ci-michael-david-petite-petit-baeb5601e81486a3.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Robert Mondavi Private Selection Cabernet Sauvignon,6.75,24.99,https://products3.imgix.drizly.com/ci-robert-mondavi-private-selection-cabernet-sauvignon-e7fe8fdbc99a4605.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Black Box Sauvignon Blanc,None,None,https://products2.imgix.drizly.com/ci-black-box-sauvignon-blanc-dc7a747b8700b275.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Carnivor Cabernet Sauvignon,8.98,20.09,https://products2.imgix.drizly.com/ci-carnivor-cabernet-sauvignon-a784bfe3d008d929.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Francis Coppola Diamond Collection Black Label Claret,11.99,35.09,https://products0.imgix.drizly.com/ci-francis-coppola-diamond-collection-black-label-claret-eed5dbbf079e70ed.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Clos Du Bois Chardonnay,4.99,21.99,https://products3.imgix.drizly.com/ci-clos-du-bois-chardonnay-b7ef3383eb834a88.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Andre Brut,4.78,14.99,https://products3.imgix.drizly.com/ci-andre-brut-0ef3807c4da1bd19.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Joel Gott Sauvignon Blanc,6.99,25.94,https://products0.imgix.drizly.com/ci-joel-gott-sauvignon-blanc-8d9592efe89d0c98.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Freakshow Cabernet Sauvignon,13.99,35.09,https://products3.imgix.drizly.com/ci-freakshow-cabernet-sauvignon-9647e0ff899454a2.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Steak House Cabernet Sauvignon,8.99,21.09,https://products0.imgix.drizly.com/ci-steak-house-cabernet-sauvignon-1335e42a90603374.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Decoy Pinot Noir,16.99,47.09,https://products0.imgix.drizly.com/ci-decoy-pinot-noir-da3856ec1617a5f9.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Prophecy Marlborough Sauvignon Blanc,8.98,20.09,https://products2.imgix.drizly.com/ci-prophecy-marlborough-sauvignon-blanc-2acc4c615ef6b726.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,The Prisoner Red Blend,34.99,91.99,https://products2.imgix.drizly.com/ci-the-prisoner-red-e2dd2069eea82798.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Black Box Pinot Noir,None,None,https://products2.imgix.drizly.com/ci-black-box-pinot-noir-6e3665aadda9685c.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Sonoma-Cutrer Sonoma Coast Chardonnay,17.99,42.99,https://products3.imgix.drizly.com/ci-sonoma-cutrer-chardonnay-sonoma-coast-d179a62a9b68bb42.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Chateau Ste. Michelle Riesling,6.98,22.09,https://products1.imgix.drizly.com/ci-chateau-ste-michelle-riesling-adac2411fa258b70.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Chateau Ste. Michelle Chardonnay,7.00,27.09,https://products1.imgix.drizly.com/ci-chateau-ste-michelle-chardonnay-0a7e055eec5f9ec5.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Stag's Leap Artemis Cabernet Sauvignon,44.95,100.09,https://products2.imgix.drizly.com/ci-stags-leap-artemis-cabernet-sauvignon-fbe60cde9c6ac734.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Leese-Fitch Pinot Noir,6.99,18.99,https://products3.imgix.drizly.com/ci-leese-fitch-pinot-noir-c241fa960c58cc0e.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Nobilo Sauvignon Blanc,7.96,20.09,https://products2.imgix.drizly.com/ci-nobilo-regional-collection-sauvignon-blanc-5633402b68129538.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Gekkeikan Sake,4.98,13.59,https://products3.imgix.drizly.com/ci-gekkeikan-sake-47cf3cc1dc6022c3.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Ruffino Lumina Pinot Grigio,6.98,19.99,https://products1.imgix.drizly.com/ci-ruffino-lumina-pinot-grigio-901d726318ce8c33.png?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Josh Cellars Sauvignon Blanc,9.97,24.99,https://products3.imgix.drizly.com/ci-josh-cellars-sauvignon-blanc-532d297b15219429.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
WINE,Bota Box RedVolution,None,None,https://products1.imgix.drizly.com/ci-bota-box-redvolution-aaf5a0f33a45cce0.jpeg?auto=format%2Ccompress&fm=jpeg&q=20
